No.,5+life Prize,5+life Winners,5+life Total,5 Prize,5 Winners,5 Total,4+life Prize,4+life Winners,4+life Total,4 Prize,4 Winners,4 Total,3+life Prize,3+life Winners,3+life Total,3 Prize,3 Winners,3 Total,2+life Prize,2+life Winners,2+life Total,2 Prize,2 Winners,2 Total
251,3600000,0,0,120000,1,120000,250,26,6500,50,291,14550,30,1437,43110,20,12015,240300,10,18406,184060,5,158324,791620
250,3600000,0,0,120000,0,0,250,30,7500,50,232,11600,30,1153,34590,20,11186,223720,10,15871,158710,5,150696,753480
249,3600000,0,0,120000,1,120000,250,29,7250,50,239,11950,30,1100,33000,20,10463,209260,10,16307,163070,5,150720,753600
248,3600000,0,0,120000,1,120000,250,24,6000,50,225,11250,30,1104,33120,20,10088,201760,10,15334,153340,5,136443,682215
247,3600000,0,0,120000,2,240000,250,25,6250,50,294,14700,30,1405,42150,20,11161,223220,10,18192,181920,5,146610,733050
246,3600000,1,3600000,120000,2,240000,250,20,5000,50,237,11850,30,1070,32100,20,9066,181320,10,16222,162220,5,129456,647280
245,3600000,0,0,120000,0,0,250,33,8250,50,243,12150,30,1077,32310,20,9518,190360,10,16499,164990,5,142955,714775
244,3600000,0,0,120000,1,120000,250,31,7750,50,362,18100,30,1675,50250,20,13623,272460,10,20514,205140,5,168363,841815
243,3600000,0,0,120000,3,360000,250,23,5750,50,271,13550,30,1264,37920,20,10585,211700,10,18635,186350,5,144045,720225
242,3600000,0,0,120000,0,0,250,27,6750,50,257,12850,30,1228,36840,20,10887,217740,10,16781,167810,5,148146,740730
241,3600000,0,0,120000,2,240000,250,24,6000,50,232,11600,30,1107,33210,20,10019,200380,10,15760,157600,5,139204,696020
240,3600000,0,0,120000,1,120000,250,27,6750,50,247,12350,30,1428,42840,20,11262,225240,10,18481,184810,5,154858,774290
239,3600000,0,0,120000,0,0,250,21,5250,50,274,13700,30,1084,32520,20,11354,227080,10,14147,141470,5,154037,770185
238,3600000,0,0,120000,1,120000,250,14,3500,50,218,10900,30,1149,34470,20,9784,195680,10,16620,166200,5,139725,698625
237,3600000,0,0,120000,0,0,250,42,10500,50,247,12350,30,1492,44760,20,11751,235020,10,19461,194610,5,157099,785495
236,3600000,0,0,120000,2,240000,250,35,8750,50,339,16950,30,1215,36450,20,12594,251880,10,16805,168050,5,166770,833850
235,3600000,0,0,120000,2,240000,250,28,7000,50,280,14000,30,1306,39180,20,12332,246640,10,18167,181670,5,163967,819835
234,3600000,0,0,120000,0,0,250,31,7750,50,224,11200,30,1142,34260,20,10013,200260,10,16148,161480,5,143852,719260
233,3600000,1,3600000,120000,4,480000,250,41,10250,50,294,14700,30,1516,45480,20,12430,248600,10,19166,191660,5,165357,826785
232,3600000,0,0,120000,0,0,250,24,6000,50,215,10750,30,1122,33660,20,9820,196400,10,15619,156190,5,139836,699180
231,3600000,0,0,120000,2,240000,250,21,5250,50,218,10900,30,1056,31680,20,9204,184080,10,15352,153520,5,136318,681590
230,3600000,0,0,120000,0,0,250,48,12000,50,276,13800,30,1593,47790,20,11814,236280,10,20673,206730,5,156155,780775
229,3600000,0,0,120000,2,240000,250,33,8250,50,283,14150,30,1315,39450,20,12107,242140,10,17897,178970,5,159734,798670
228,3600000,1,3600000,120000,2,240000,250,51,12750,50,406,20300,30,1597,47910,20,14710,294200,10,20971,209710,5,181643,908215
227,3600000,0,0,120000,3,360000,250,40,10000,50,318,15900,30,1447,43410,20,12361,247220,10,19230,192300,5,164194,820970
226,3600000,0,0,120000,0,0,250,24,6000,50,207,10350,30,1184,35520,20,10328,206560,10,16354,163540,5,146779,733895
225,3600000,0,0,120000,2,240000,250,29,7250,50,324,16200,30,1479,44370,20,13348,266960,10,19424,194240,5,171169,855845
224,3600000,1,3600000,120000,2,240000,250,28,7000,50,243,12150,30,1229,36870,20,11327,226540,10,18094,180940,5,157991,789955
223,3600000,0,0,120000,2,240000,250,37,9250,50,321,16050,30,1363,40890,20,12676,253520,10,17111,171110,5,162106,810530
222,3600000,1,3600000,120000,1,120000,250,28,7000,50,264,13200,30,1351,40530,20,12270,245400,10,18985,189850,5,169659,848295
