DrawDate,Match 6 Prize,Match 6 Winners,Match 6 Total,Match 5 Prize,Match 5 Winners,Match 5 Total,Match 4 Prize,Match 4 Winners,Match 4 Total,Match 4 plus Bonus Prize,Match 4 plus Bonus Winners,Match 4 plus Bonus Total,Match 3 plus Bonus Prize,Match 3 plus Bonus Winners,Match 3 plus Bonus Total,Match 5 plus Bonus Prize,Match 5 plus Bonus Winners,Match 5 plus Bonus Total,Match 3 Prize,Match 3 Winners,Match 3 Total,Match 2 plus Bonus Prize,Match 2 plus Bonus Winners,Match 2 plus Bonus Total
2023-11-04,4170027,0,0,1252,24,30048,57,853,48621,158,48,7584,29,1105,32045,334197,1,334197,10,14712,147120,3,11856,35568
2023-11-01,3739173,0,0,1773,12,21276,49,705,34545,167,32,5344,30,773,23190,284074,0,0,8,12852,102816,3,7337,22011
2023-10-28,3434187,0,0,2149,14,30086,49,997,48853,133,57,7581,23,1413,32499,248594,0,0,9,17041,153369,3,13772,41316
2023-10-25,3002876,0,0,1389,15,20835,47,720,33840,164,32,5248,22,1012,22264,198417,0,0,9,11402,102618,3,9537,28611
2023-10-21,2704266,0,0,1916,15,28740,42,1111,46662,136,53,7208,22,1443,31746,163679,0,0,8,16983,135864,3,12987,38961
2023-10-18,2292291,0,0,1568,13,20384,36,917,33012,47,108,5076,13,1677,21801,115752,0,0,7,13926,97482,3,12360,37080
2023-10-14,2000000,0,0,1897,15,28455,51,913,46563,143,50,7150,30,1027,30810,81748,0,0,9,16208,145872,3,10310,30930
2023-10-11,2294855,1,2294855,1870,11,20570,52,646,33592,126,41,5166,25,892,22300,34302,0,0,9,11342,102078,3,8396,25188
2023-10-07,2000000,0,0,2075,14,29050,60,782,46920,215,34,7310,29,1071,31059,24224,2,48448,18,13983,251694,3,10966,32898
2023-10-04,3867027,2,7734054,481,54,25974,29,1475,42775,181,36,6516,26,1079,28054,581131,1,581131,6,19811,118866,3,9653,28959
2023-09-30,7361996,0,0,2364,14,33096,60,893,53580,170,49,8330,30,1199,35970,537848,0,0,10,16034,160340,3,12032,36096
2023-09-27,6887595,0,0,1560,15,23400,60,635,38100,196,30,5880,32,789,25248,482659,0,0,11,10404,114444,3,7986,23958
2023-09-23,6552118,0,0,2446,13,31798,55,943,51865,143,56,8008,26,1348,35048,443631,0,0,9,17209,154881,3,13446,40338
2023-09-20,6096270,0,0,795,29,23055,35,1074,37590,157,37,5809,31,818,25358,390601,0,0,7,15817,110719,3,7909,23727
