No.,5+2,5+1,5,4+2,4+1,4,3+2,3+1,2+2,3,1+2,2+1,2
1196,55265839,113240.50,20513.90,1770.70,100.90,39.70,56.60,8.80,9.70,7.80,5.10,4.80,2.70
1195,43294160,0,178723.60,3002.60,141.20,41.40,94.70,10.80,15.50,8.20,8.10,5.80,2.90
1194,35148482,226436.50,13184.90,2579.60,105.60,23.40,97.40,10.50,17,5.70,9.20,6.20,2.30
1193,22256333,270919.70,18028.60,1870.50,99.60,39.50,75.10,9,14.10,8.90,7.20,5,3.10
1192,14773000,234210.20,23378.60,1231.40,110.50,46.90,34.10,8.40,6.10,8.50,3.50,4.50,2.90
1191,152400366,199928.90,25869.80,1479,91.40,34.10,53.10,7.70,9.60,7.10,5.30,4.40,2.70
1190,144375567,198517.70,15412.30,2025.30,110.20,36.90,72.30,9.80,13.80,7.70,7.30,5.50,2.80
1189,133312302,0,30374.60,2536.50,141.30,52.10,82.70,11.10,13.90,9.60,6.70,5.70,3.20
1188,123991632,168674.50,34375.40,3057.10,131.20,45.90,82.70,10.20,13.70,8.60,7,5.20,2.80
1187,113958151,442658.20,11455.50,2101.20,100.10,39.70,84.90,9.70,14.80,8.90,7.40,5.20,3.10
1186,105204000,0,17431.50,2542.90,125.90,43.60,77.70,10.60,13,8.70,6.60,5.40,2.90
1185,75051591,128060.40,13557.60,1696.40,98.60,37.80,55.10,8.70,9.90,7.90,5.40,4.90,2.90
1184,68153942,135132.60,23605.40,2008,82.30,29.20,66.20,8,13.10,6.60,7.30,4.90,2.50
1183,61621961,0,18676.10,2131.50,117.80,38.50,81.30,9.40,14.20,7.20,7.50,5.20,2.60
1182,53285987,0,27655.40,1764.40,108.80,39.10,67.60,8.70,12.20,7.40,6.50,4.90,2.70
1181,42137452,0,40163.30,2104.80,113.60,44.60,55.80,9,9.70,8.30,5.10,4.70,2.80
1180,34004534,235713.70,27450.20,1678.30,119.80,41.50,72.80,10.10,12.40,8.60,6.60,5.30,2.90
1179,23253235,0,16028.20,1524.40,115.40,36.50,69.30,8.90,12.30,7,6.50,4.80,2.40
1178,15228600,0,12893.70,1360.20,67.90,16.90,56.50,6.60,12,4.20,7,4.40,2
1177,114969775.70,76384.70,16308.30,1113,73.30,24,45.50,7.20,9.30,5.90,5.50,4.40,2.40
1176,108543762,322633.20,15028.90,2901.70,142.90,43,97.90,12.10,17.30,8.10,9,6.50,2.70
1175,99026381,167294.90,31171.90,2178.10,116.30,39.30,56,8.50,10.20,7.40,5.50,4.60,2.60
1174,92134454,0,18035.50,1673,86.70,37,67.70,7.90,11.60,7.30,6.10,4.30,2.60
1173,83057501,203580,28449.60,1265,104.90,36.30,50.10,8.50,8.30,7.80,4.30,4.50,2.80
1172,76884342,151780.50,16068.80,2788.90,114.50,32.90,85.10,9.80,15.50,7.20,8.50,5.50,2.60
1171,69712546,103765.50,12084,1019,54.80,19.50,40.60,5.50,8.50,4.90,5.60,3.60,2.10
1170,63478325,184790.40,9061,2551.70,118.80,35.70,87.10,10.20,16.10,7.10,8.50,5.70,2.50
1169,51799990,0,0,3200.10,116.50,48.30,75.60,9.30,13,8.60,6.70,4.70,2.80
1168,43374190,79870,6439.30,2099.70,79.10,18,69.90,8.30,13.90,4.70,8,5.30,2.10
1167,32439819,252341,23509.20,2299.80,105.90,37.90,72.60,9.30,13.30,7.30,7.20,5.10,2.60
1166,24866684,127983.20,14904.30,1620,75.90,27.20,61.30,7.60,12.10,6,6.90,4.60,2.40
1165,15130000,0,51150,3574.10,118.80,38.30,91.90,10.60,17.40,8,9.30,5.70,2.80
1164,44832935,0,30734.30,3006.60,124.10,29.80,81.20,9.30,14.20,5.80,7.80,5.30,2.10
1163,33184923,0,0,1101,70,25.90,42.50,6.10,8,5.60,4.70,3.80,2.20
1162,25702466,0,20700.40,2454.50,121.30,38.10,104.40,11.50,17.70,7.50,9.50,6.40,2.60
1161,14832500,0,38280.40,2080.40,120,45.40,67.70,10.50,12.20,9.20,5.90,5.50,3.20
1160,76369806.80,0,13414.90,1740.80,86.20,33.20,60.70,7.60,11.10,6.80,6.40,4.40,2.50
1159,70193991,0,12951.30,2043.50,114.10,24,80.80,9.80,15,5.30,8,5.50,2.10
1158,64245817,53622,15895.30,1943.70,88.90,32.60,55.80,8.30,10.20,7.20,5.50,4.70,2.60
1157,52107396,581472.70,0,4140.20,127.30,41.10,99.60,9.20,16.80,7.40,9.60,5.50,2.70
1156,43581440,0,0,2078.10,148,44.70,100.10,11,17.10,8.90,8.90,5.50,2.80
1155,32638799,125435.10,19476.80,1905.30,118.60,37.90,75.90,10.40,13.50,8.30,6.80,5.70,3
1154,25070150,134539.40,22382.60,1256.30,94.10,33.40,42.70,8.10,8,7.20,4.40,4.50,2.70
1153,14873300,251382.80,39033.20,0,131.90,45.20,96.10,10.90,16,8.70,8.20,5.80,2.90
1152,14948100,97370.70,14431.90,2426.50,84.50,26.40,72.80,8.40,14.20,6.50,7.50,5.10,2.60
1151,144603632,53895.10,7113.20,1557.80,62.30,22.40,56.70,7,11.80,5.90,6.70,4.50,2.50
1150,135382686,225954.60,43856.10,1739.30,80.80,33.50,52.70,7.30,9.50,7,5.30,4.40,2.60
1149,124411811,0,21042.90,1684.20,92,35.30,47.60,7.70,9.20,7.10,4.90,4.50,2.60
1148,116870000,0,13403.90,1218.40,69,25.90,56.30,6.50,10.80,5.90,6.20,3.90,2.30
1147,40651934,132225.40,0,3347.40,121.20,39.10,93.80,10.80,17.80,7.20,9.50,5.80,2.50
1146,32776219,0,13631.50,2529,122.60,45.70,78.70,9.20,13.20,8.90,6.70,4.70,2.90
1145,22382447,115810.30,0,2777.50,103.20,40.20,79.90,8.90,13.90,8.50,7.10,4.90,3
1144,15216700,152348,15770.40,2239.40,92.70,34.10,62.60,7.30,11.70,6.80,6.30,4.70,2.50
1143,40979973,0,12759.30,2006,104.10,32.10,74.50,8.90,13.60,6.90,7.30,5,2.50
1142,32721629,162428.30,4323.50,2313,144.80,50.80,62.80,10.20,10.30,9,5.20,5.20,3
1141,22758649,90353.10,15031.60,3216.60,116.50,39.50,96.30,10.70,18.20,8.20,9.40,6,2.90
1140,15393500,153431.80,0,3329.40,148.50,41.20,89.90,11.80,15.50,8,8.30,6.20,2.60
1139,96785706,121960.70,34087.20,5210.30,164.90,40.90,98.30,12,17.50,8.10,9.20,6.50,2.70
1138,89766677,423295.20,21908.90,2606.60,114.40,35.80,95.10,10.10,16.70,7.30,9,5.60,2.60
1137,81090231,328447,15299.80,2138.10,104,29.30,74.70,9,14.60,6.90,7.70,5.20,2.60
1136,75029181,96827.80,45104.60,2674.10,134,48.40,66.60,10.40,10,9.20,5,5.30,3.10
1135,67719962,0,17868.20,2549.10,125.40,42.70,76.60,9.80,13.30,7.80,7,5.20,2.70
1134,61780382,771131.20,19956.10,2196.20,139,42.90,99.30,11.90,17.40,8.50,9.20,6.40,2.90
1133,50637585,177664.90,62070.20,3195.80,133.80,48.50,82,11.50,14.60,9,7.60,6,3
1132,42386533,0,13531.10,2206.10,94.50,28.50,63.20,8,11.90,6,6.70,4.60,2.30
1131,32023423,0,21006.20,1388.40,114.80,43.20,54.50,9.30,9.20,8.30,4.60,4.70,2.80
1130,24941396,0,0,2957.10,143.60,49.10,72.90,10.90,11.60,9.50,5.30,5.40,3.10
1129,15126600,222211.40,0,1808.20,118.40,42.30,75.40,10.40,13.90,8,7.50,5.70,2.70
1128,15021200,415324.10,0,3154.30,112.40,33.50,99.90,10.30,17.80,7.20,9.60,5.80,2.70
1127,57975367.70,0,39833.70,2922.50,100.20,34.10,71.40,8.70,12.60,7.20,6.70,4.80,2.60
1126,49801491,355683.80,33137.10,2026,124.70,45.40,82.40,10.70,14.90,8.50,7.60,5.90,3
1125,39091736,0,26729.40,1162.10,87,33.10,44,7.40,7.90,7.20,4.30,4.20,2.70
1124,31647298,0,14522,3088.30,127.90,37.30,103,10.10,18,7.50,9.50,5.40,2.60
1123,21730843,0,0,2545.70,134.70,45.70,61.60,9.70,9.90,8.70,4.80,4.80,2.90
1122,14960000,0,0,1558.30,118.30,39.20,51,9.30,9.30,8.10,4.60,5.10,2.90
1121,31809040,0,14924.60,1381.10,86.50,28.70,46,8,8.90,6.80,4.80,4.50,2.50
1120,24560828,0,49091.40,3001.50,132.20,39.40,90.20,11.80,17,7.40,8.90,6.40,2.60
1119,14954900,0,0,1203.30,89.90,29.50,51.60,7.40,9.80,6.10,5.40,4.30,2.40
1118,14931100,0,0,1177.70,106.70,37.80,48,9.30,8.80,8.30,4.50,5,2.90
1117,14886900,0,17244.40,1686.90,87.90,36.40,68.60,8.40,12,8.20,6.10,4.60,2.90
1116,34972315,0,122898.20,2329.40,111.90,44.50,68.80,8.70,12.40,8.40,6.70,4.70,2.90
1115,57637756,105461.70,13646.20,2730.50,113.40,43.40,70.40,9.30,12,8.50,6.30,5.10,2.90
1114,50089464,0,13180.60,1646,94.90,38.40,57.80,7.50,10.90,7.50,6.10,4.20,2.70
1113,39384424,0,202527,4318.60,163.60,52.20,116.50,12.90,20.20,9.10,10.40,6.70,3.10
1112,32040070,0,9774.60,739.30,49.70,19.50,35.50,5.60,7.80,5.20,4.70,3.70,2.20
1111,22065747,0,60640.80,2949.10,112.30,35.30,103.80,10.90,19.10,7.70,10.40,6.10,2.80
1110,15004200,162462.10,30271.40,2000.90,118,40.80,83,10.30,15.20,8.40,8,5.70,3
1109,39948586,541468,18016.30,2467.40,111.10,41,59.60,9.20,10.50,8.60,5.50,5.20,3.20
1108,32659632,140245,13610.20,3631.20,99.40,31,96,9.50,17.80,6.80,9.70,5.40,2.50
1107,21805469,0,25154.20,1892.80,119.30,40.70,58.30,8.90,9.70,8,5.10,4.80,2.70
1106,14958300,0,26469.10,3377.40,148.20,48.60,106.30,11.50,17.60,9.20,9.20,6,3
1105,121328187,199921.30,15521.30,1598.30,99.30,36.90,43.30,8.10,7.40,7.50,3.90,4.50,2.70
1104,114010000,423989.20,16458.60,2337.20,104.20,36.70,70.60,9.60,13,8.10,6.80,5.20,2.90
1103,22289222,0,0,1635.60,106.10,34.30,57.50,9.50,10.60,7.70,5.50,5.10,2.80
1102,14740700,109643.20,25537.10,2562.20,114.10,47.70,78.30,10,13.30,9.10,6.60,5.20,3.10
1101,14829100,0,15722.80,3845.20,135.40,34.40,111.70,12.30,18.70,8,10.40,7,2.80
1100,66429609,0,0,2484.30,131,50.10,70,10.80,11.80,9.20,5.60,5.50,3
1099,59156133,0,0,1341.80,91.90,40.50,43.80,7.80,7.70,8,4.10,4.40,2.80
1098,51598288,0,14750.90,1443,97.30,34.80,66.50,8.20,12.10,7.30,6.70,4.60,2.60
1097,40629122,0,90037.40,4479.80,116.90,42.30,90.70,9.90,16,8.10,8.60,5.20,2.70
1096,32771739,174077.90,0,3051,108.20,36.70,76.80,8.70,14,6.90,7.60,5,2.50
1095,22265427,0,0,2578.20,122.30,41,74,9.70,14.60,8.10,7.80,5.50,2.90
1094,14992300,228180.10,0,2166.20,95.80,21.80,88,9.30,16.10,5.40,8.90,5.70,2.20
1093,54643467,188271.50,0,2010.80,83.60,21.40,82,8.50,15.30,5.40,8.60,5.10,2.20
1092,45846428,387985.60,8606.30,2266.70,111.10,27.20,91.10,11.20,17,6.50,9.10,6.30,2.40
1091,34392263,133825.50,17811.10,1563.60,106.10,39.40,58.40,9,9.80,8.10,5.10,4.90,2.90
1090,26096672,363393.50,16927.70,3942.70,153,46.60,108.60,13.30,18.10,8.70,9.20,6.90,2.80
1089,14956600,0,351385.90,3092.20,178.90,64.10,105.40,13.50,18.30,11.30,9.20,6.70,3.60
1088,77798898.10,0,21455.80,976.20,89.80,36.40,36.20,7.60,6.50,7.20,3.70,4.10,2.60
1087,142157622,169512.60,11280.40,1931.10,85.10,30.30,67.90,8.30,12.40,6.80,6.90,4.90,2.60
1086,133365227,224264.80,15362.80,1906.60,96.70,32.60,72.60,8.70,13.20,6.60,7.50,5,2.50
1085,123305866,0,0,2107.50,83.50,23.70,61,7.30,12.50,5.10,7.20,4.50,2.10
1084,114539544,1168902.90,34031.30,2560.80,153.50,49.70,90.90,12.40,16.30,9.10,8.30,6.60,3.10
1083,104423108,158759.50,13206,2444.10,90.40,25.80,78.30,8.90,14.80,6.10,8.10,5.30,2.40
1082,95972671,0,24506.30,2631.20,119.20,46.60,88.30,9.80,14.90,9.10,7.30,5.30,3.20
1081,86173606,132820.10,19334.50,1220.20,74,32.30,57,6.70,11,7,6.30,4.10,2.60
1080,79917041,0,13868.10,1337.50,91.30,34.70,49.10,8.30,9.10,7.20,5,4.80,2.70
1079,71872851,153211.20,17842.30,1396.30,55,26,51.50,5.70,10,6.10,6.20,3.60,2.40
1078,66212715,0,19653.20,1351.80,89.40,32.50,46.20,7.60,8,7,4.30,4.20,2.50
1077,54434216,0,26616.70,3426,125.30,42.30,96.20,10.90,18.40,8.30,9.50,5.90,2.90
1076,45394452,260748.10,22774.20,1437.30,91.90,34.80,51.70,8.20,9.60,6.90,5.40,4.70,2.60
1075,33484288,175926.80,24585.20,2147.30,109.80,41.10,60.70,8.70,10.40,8.10,5.50,4.70,2.90
1074,25687589,96111.80,17410.90,1824.90,125.70,42.40,63.70,9.70,10.50,8.30,5.30,5.10,2.80
1073,15084100,0,0,2189.30,95.80,35.80,59.20,8.20,10.60,7,6,4.40,2.50
1072,34588069,0,97151.20,2895.80,119.60,32.40,84.20,10.10,15.20,6.20,8.10,5.70,2.30
1071,21951423,149589.60,11613.70,1893.50,110.60,37.90,72.20,9.90,13.60,7.80,7.40,5.40,2.70
1070,15089200,0,23509.80,1749.90,102.80,38,55,8.60,9.50,7.90,5,4.70,2.80
1069,119876081,285288.60,28477.20,1547.60,108.60,37.90,60.90,9.60,10.90,7.90,5.50,5.30,3
1068,111674784,0,268793.70,2956.80,156.70,51.10,89.60,11.90,15.40,9.60,7.90,6.20,3.10
1067,101938670,257440.90,35976.50,2513.80,138.80,51.50,70.40,9.90,12.40,9.20,6,5.60,3.10
1066,94304641,302827.90,0,2156.20,118.90,44.80,71.10,9.10,12.50,8.70,6.80,4.80,3
1065,85788778,357606.30,20822.60,3017.70,161.50,52.80,70,11.30,11.40,10,5.30,5.80,3.40
1064,79577293,0,38913.60,3398.90,152.60,43.80,112.70,12.60,18.80,8.20,9.70,6.70,2.70
1063,71866782,0,0,1345.20,75.90,29.40,39,6.90,7.70,6.50,4.30,4.10,2.50
1062,66743323,0,167233.30,1892.10,124.20,41.60,74.40,9.90,13.30,8.10,7.20,5.20,2.80
1061,54215274,0,0,731.10,55.40,23.30,31.70,5.90,6.50,6,3.80,3.80,2.50
1060,46135062,0,186633.40,4790.30,139.10,48.40,107,12,18.20,9.40,9.30,6,3
1059,34502478,0,0,4156.30,136.80,46.50,87.20,10.90,14.60,8.90,7.40,5.60,2.90
1058,26361644,0,0,1477,78.90,25.80,55.50,8.10,10.50,6.70,5.50,4.70,2.50
1057,14970200,0,0,2501.60,131.60,38.40,95.50,10.40,17.50,7,9.30,5.40,2.40
1056,25476778.30,223578.30,11158.70,1046.70,75.20,28,41.30,7.70,8.40,6.60,4.80,4.50,2.50
1055,14919200,0,205394.80,3349.20,172.50,58.60,77.30,11.60,11.30,10.50,5,5.60,3.40
1054,15011000,225273.60,9837.90,2026.10,86.10,28.20,73.30,8.90,13.40,6.90,7.20,5,2.60
1053,58670142,90744.90,11528.40,1148.60,51.80,19.70,50.80,5.70,10.80,5,6.50,3.90,2.10
1052,49712130,92991.50,11551.30,1008.90,59.20,24.90,37.10,6.10,7.50,5.90,4.60,3.90,2.40
1051,37871775,0,0,1892.50,77.30,31.60,57,6.40,11.20,6.60,6.40,3.70,2.40
1050,29491384,0,22951.20,2245.20,120.60,41.60,70.40,9.50,12.90,8.10,6.70,5.20,2.80
1049,15209900,0,29569.30,2225.10,132.40,49.30,63.20,9.90,10.60,9.10,5.20,5.10,3
1048,170810000,900571.70,19468.90,1301.20,71.60,31.20,49,7.40,10.20,7.30,6.30,4.80,2.80
1047,168701000,981944,19486.80,2314.80,117.60,39.10,80.40,10.10,13.60,8.50,6.70,5.60,3.10
1046,157898325,195868.30,15966.90,1259.60,82.10,33.70,36.60,7.60,6.60,7.40,3.70,4.30,2.70
1045,143626132,128055.70,0,2778.70,155.60,51.40,99.10,12.60,17,9.60,8.60,6.40,3.10
1044,134911784,655838.70,33944.90,2334.80,125.90,45.70,83.20,10.30,13.50,8.70,7.10,5.50,3
1043,123904174,110762,18761.90,2462.10,102.60,38.50,71.80,8.70,12.90,8,7,4.70,2.90
1042,114504000,223535.80,16441.20,3638,114.90,37.60,89.80,9.70,16.30,7.40,8.80,5.40,2.70
1041,33717075,0,22231.90,2091.20,83.20,26.30,64.50,7.70,12.20,5.30,6.90,4.60,2.20
1040,25993675,0,35651,2906.30,128.20,43.70,70.80,9.70,11.90,8.20,5.80,4.90,2.80
1039,15560100,0,7828.80,806.10,54.10,24.20,41,6,8.20,5.40,5.10,3.80,2.20
1038,25914013,207054.20,28935.10,1608.30,79,32.60,38.30,6.70,6.60,6.40,3.80,3.90,2.40
1037,15767500,0,0,1470.10,80.20,30.50,54.90,7.30,9.50,6.40,5.10,4,2.30
1036,15735200,304858.10,10143.50,2894.20,88.10,25.40,98.10,8.50,18.30,5.40,10.10,5.10,2.20
1035,40510685,37653.60,13154.90,408.50,35.60,19.30,20.50,4.30,5.40,5,3.70,3.10,2.20
1034,32520149,0,27712.60,1882.60,111.20,43.40,50,9.20,8.50,8.40,4.20,4.90,2.90
1033,22117219,0,125951.50,2586.20,125,42.20,87,10.50,14.80,8.30,7.90,5.50,2.80
1032,15449600,206688.30,0,2140.60,116.60,38.80,102.40,10.70,18.50,8.20,9.80,6,3
1031,33089644,116466,21701,2211.30,116.70,45.90,67.40,9.10,11.90,9,6.40,4.70,3
1030,25529274,0,29179,2854.40,146.60,56,88.70,11.70,12.20,10.50,5.70,5.60,3.20
1029,15208200,114465.30,8886.70,2086.40,96,30,70.80,9,14,6.80,7.60,5.20,2.60
1028,51702049.60,243054.30,24261.40,1457.30,108.10,37.90,62.30,8.80,11.30,7.70,6.10,4.80,2.70
1027,40445365,0,37414.80,2387,155.70,49.70,85.50,11,13.60,9.10,6.70,5.50,2.80
1026,32874047,0,0,1304.50,80.80,33.30,42.10,6.70,7.50,6.90,4,3.90,2.50
1025,22265567,0,0,2372,112,46.60,49.40,9,7.40,9,3.80,4.40,2.90
1024,14900500,687688.80,0,2061.60,117.80,43.10,80.60,9.40,14.40,8,7.90,5.10,2.80
1023,15189500,0,20376.70,1718.40,119.90,39.20,77.60,9.50,13.60,7.60,7.20,5.10,2.60
1022,25663715,141002.20,16420.50,2590.80,104.30,42.40,71,10.10,11.50,9.20,5.60,5.30,3.10
1021,14943000,0,0,1260.40,95.60,35.50,41,8,7.60,7.50,4,4.40,2.70
1020,87570000,200047.10,0,2681.10,127.30,43.40,72.20,10.20,12.40,8.80,6.20,5.50,3.10
1019,70127201,85964.80,20022.20,1371,71.80,28.30,62,7.30,11.40,6.40,6.40,4.50,2.50
1018,64082100,0,42269.90,1837.80,121.60,44.80,37,8.20,5.90,8.20,3.30,4.20,2.70
1017,52594374,181650.80,31731.40,2586.80,124.20,41.10,81.80,9.90,14.30,7.90,7.70,5.40,2.80
1016,44150291,90509.70,12972.70,4124.40,134.70,41.30,114.70,11.50,20,8.50,10.50,6.10,2.80
1015,33506785,0,9702.90,2190.40,99.40,27.70,66.20,8.30,13.10,5.90,7.40,4.80,2.30
1014,25684767,0,14388.70,4553.90,118.10,30.30,85.30,10.20,16.10,6.60,8.30,5.90,2.40
1013,14866500,0,205282.50,1835.60,118,45.20,51.10,10.10,7.90,9.30,3.80,5.10,3.10
1012,134808762,178884.10,12680.30,1285.10,83.20,30.20,48.40,7.80,8.90,7,4.70,4.50,2.60
1011,121851562,322740.30,13265.20,2042.60,92.90,32.50,55,8.40,10.40,7.40,5.80,4.80,2.70
1010,113475960,277779.90,28754.70,2301.50,109.70,39.30,73.20,9.90,13,7.70,7,5.30,2.70
1009,102101430,220475.10,25675.50,1969.90,100.50,32.80,70.60,8.70,13.50,7.10,7.30,5.10,2.70
1008,93927013,175490.50,16349.50,1034,59.30,25.30,37.70,6.30,7.90,6,5,4.20,2.50
1007,84319251,249438.80,10252.40,1039.60,66.60,28.90,42.30,6.90,8.90,6.90,5.40,4.50,2.80
1006,76813393,0,110103.10,1849.70,117.50,41.60,57.30,9.20,9.80,8.30,5,4.90,2.90
1005,68249429,0,11095.50,1356.70,59.50,26.70,50.30,6.30,9.50,6.50,6,4,2.60
1004,63162406,207435.10,0,2305.50,109.20,47,74.50,8.90,11.70,8.60,6.60,4.90,2.90
1003,55848627,0,9274.70,2948.70,109.70,21.20,108.60,10.80,19.70,5.20,10.60,6.40,2.10
1002,48309589,0,0,1361.50,104.90,40.30,48.70,9,9,8.10,4.80,5,2.90
1001,38059267,55765.90,16699.50,1143.50,80.40,34.40,39,7.40,7.50,7.60,4.40,4.30,2.80
1000,30153753,233051.50,27140.10,2042.30,95.60,36.10,66.40,8,12.40,7.60,6.70,4.60,2.90
999,20624201,0,36215.10,3795.80,133,40.40,113.80,10.90,20,8.40,10.50,5.90,2.90
998,14422800,0,29085.20,1546.30,89,27.90,71.80,8.50,13.20,6.20,7.50,5.10,2.40
997,70887897,0,29605.70,2129.50,113.70,45.90,54.40,9.30,9.30,8.10,4.80,4.90,2.80
996,65668144,411379.80,17420.90,1994.30,111.20,39.30,70.60,8.80,12.50,8.20,6.60,4.80,2.90
995,58513592,192732.90,0,2058.40,122.10,47.30,59.80,9.60,10.30,8.50,5.40,5,2.90
994,49849009,394866,13138.40,3911.70,133.10,36.20,112,11,19.40,7.30,10.40,6.10,2.60
993,39630350,0,8865.70,1818.50,101.20,34.50,72.30,9.10,13.20,7.10,7.20,5.10,2.50
992,31918888,95008.10,0,923.90,69.10,31.60,38.90,7,7.70,6.80,4.40,4.10,2.60
991,21818290,251255.10,23408,2726,148.50,49.60,88.30,11.70,15.40,9.20,8.30,6,3
990,14742400,343943,14565.10,932.90,82,34.70,42.10,7.70,8.30,7.40,4.80,4.50,2.80
989,70386999,159392,21213.80,2343,111.70,42.50,55.50,8.70,9.60,8.40,5.20,4.70,2.90
988,64931865,0,0,2977.50,146.70,48.20,92,12,15.80,10.10,8.10,6.20,3.30
987,51910688,0,180293.90,2897.30,157.90,56.20,96.20,11.80,15.60,10.30,7.30,5.90,3.40
986,43311596,0,29203.10,3726.30,137,32.90,99.60,11.50,18.10,7.10,9.50,6.40,2.60
985,31923442,0,163596.80,3556.80,157.30,40.90,118.40,12.20,20.60,8.60,10.90,6.40,2.90
984,24449171,102785.70,16757.90,2561.50,84.20,31.40,76.80,7.70,13.60,7.10,7.40,4.60,2.70
983,14383700,247463,0,4698.60,128.20,51.30,88.70,10.30,15.20,9.40,7.60,5.30,3.20
982,14509500,0,19617.60,2326.20,115.10,43.10,71.80,10.10,11.60,9,5.80,5.30,3.10
981,19987961.20,0,21464.20,2333,114.80,40.20,69.30,9.70,13,7.90,7.10,5.20,2.70
980,32204121,187109.80,0,1375.20,91.80,34.80,57.60,8.20,10.80,7.60,5.80,4.90,2.90
979,21809971,0,0,2350.40,100.40,40.50,66.30,8.70,13.30,7.80,7.60,5.30,2.80
978,14686300,247513.70,34589.20,2819.70,128.90,52.10,66.50,10.40,10.10,9.70,5,5.10,3.10
977,22233944,174623.90,0,1297.40,87.90,29.40,49.10,7.40,9.40,6.30,5.40,4.30,2.40
976,14495900,0,15956.80,1500.90,112.30,44.90,52.40,8.80,9.20,8.60,4.80,4.80,3
975,76052175,61152.10,6266.90,744,50.30,17,34.80,5.40,7.70,4.90,4.90,3.80,2.30
974,70419453,287742.90,12565.90,1024.40,84.90,36.40,40.60,7.60,8.10,7.40,4.50,4.40,2.80
973,62366698,0,17884.50,2413.20,118.40,43,78.90,10.70,14,8.30,7.30,5.70,2.90
972,53936316,0,22220.10,1577.60,75.60,33.40,45.10,7,8.10,6.90,4.50,4.10,2.60
971,40259650,183875,0,1256.80,89.30,35,57.70,9.40,10.10,7.80,5.30,5.20,2.90
970,31898943,140190,18139.90,3992.70,112.90,37.60,84.60,9.20,14.70,7.10,7.80,5.20,2.60
969,21591336,0,89492.90,1929.50,107.90,32.80,78.80,10.10,14.40,6.80,8,5.80,2.60
968,14538400,0,24012.10,1957.50,97.90,36.80,61.10,8.20,11.60,7.20,6.40,4.70,2.60
967,21534783,0,0,3876.70,116.40,37.60,101.60,10,17.80,7.60,9.60,5.40,2.70
966,14487400,0,25928.40,1811.70,95.70,38.20,57.50,9.20,10.40,8.50,5.30,5.10,3.10
965,51875129,43276,9407.50,1030.10,46.50,22.90,50.20,5.50,11.10,5.90,6.90,3.70,2.50
964,43003166,137678.80,19240.10,3035.70,121.80,40.40,96.70,11.50,17,8.70,8.70,6.20,3
963,32050401,0,63429.70,1939,131,50,55.90,10.40,9.40,9.20,4.80,5.30,3.10
962,24450957,90944.30,28242.60,1625.20,103.60,37.10,67,9,11.60,7.90,6,5,2.90
961,14392200,123468.90,14378.60,1308.40,79,26.40,43.10,7.20,8.70,6.10,5.20,4.40,2.50
960,24662130,0,43419.40,4247.50,127.90,35.20,108.10,10,19,6.70,10.30,5.70,2.50
959,14494200,128214.50,0,2655.70,143.20,50,86.30,11.20,15.10,8.80,7.90,5.60,2.80
958,26009712,0,5685.10,1872.70,71.80,16.10,71.70,8.10,14.30,4.70,8.30,5.20,2.10
957,40546633,0,41892.50,2794.20,131.10,47.60,79.80,10.70,13.60,8.70,7,5.50,2.80
956,32720430,0,10551.40,1835,93.90,34.70,57.90,8.30,10.40,7.40,5.70,4.70,2.70
955,22092234,0,0,1016,102.50,40.40,39.40,8.80,6.70,8.80,3.40,4.80,3
954,14648900,119106.80,0,2087.50,108,42.10,62,9.20,10.80,8.50,5.80,4.90,2.90
953,35072281,0,40037.40,2447.90,108.40,41.40,59.40,8.70,12.20,8.20,6.70,4.60,2.80
952,26830014,0,23929,1222.80,96.80,43.60,32.90,7.40,5.30,7.80,3,3.90,2.60
951,15362900,0,0,1263.50,82.40,27.60,48.70,7.60,9.50,6.30,5.30,4.40,2.40
950,15667698,197954.50,28816.10,1006.70,90.20,33.40,40,7.70,7.80,6.80,4.50,4.40,2.50
949,44777159,97091.90,15075.80,1327.30,73.20,29.40,46.80,6.80,9.70,6.50,5.80,4.20,2.50
948,35497880,0,0,2324.70,105.50,39.10,78.30,9.50,13,7.60,7.10,5,2.60
947,23638239,0,109030.30,1162.40,76.30,27.50,47.10,7.30,9,6.30,5.20,4.20,2.40
946,15330600,161682.70,13449.20,1534.90,81.90,21.50,64.80,8.10,13,5.40,7.40,5,2.20
945,153361048,110667.70,21479.80,1881.70,86.30,27.70,66.40,8.10,12.80,6.20,7,4.80,2.40
944,140104641,118742.80,16011.60,2038.40,81.10,23.60,66.90,7.80,13.20,5.90,7.30,4.70,2.30
943,124041722,0,20172.20,1938.10,86,32.80,65,7.50,12.30,6.60,6.90,4.60,2.40
942,112697000,262531.70,24458.60,2136.30,126.20,43.80,76.40,10.30,13.60,8.20,7.30,5.70,2.90
941,14671000,196299.40,19594.40,3194.70,133.50,36.40,113.80,10.80,19,7.20,10.40,5.90,2.60
940,20683054,0,26116.40,3420,151.20,79.90,36.80,10.50,11,9.30,5.60,5.50,2.90
939,12900000,0,39085,3758.10,175.90,79.60,45.40,10.90,12.50,8.90,6.30,5.50,2.80
938,34037587.40,188510.80,17454.70,2964,105.80,47.60,43.90,8.50,14.20,6.20,8.30,5.20,2.30
937,25859082,0,36083.70,3280.30,131.30,62.60,43.80,9.60,13.40,7.90,7,5.20,2.60
936,20243965,181383,13741.10,1757.50,82.60,42.30,28.20,7,10.30,6,6.70,4.50,2.40
