No.,5+2,5+1,5,4+2,4+1,4,3+2,3+1,2+2,3,1+2,2+1,2
1770,125920031,183257.40,24474.40,970.20,96.10,35.40,49.20,8.70,11.50,7.80,5.20,4,3.10
1769,111706402,0,11753.10,732.10,73.10,23.80,28.10,6.20,7.40,5.50,3.80,3.20,2.50
1768,100932446,131584.90,10983.40,997.80,76.80,25.90,34.50,7.20,8.80,6.10,4.30,3.70,2.70
1767,88587174,0,115065.60,942.90,99.80,33.90,47.40,8.90,11.20,7.20,5.30,4.10,2.80
1766,80134912,0,18128.30,1411.60,91.10,33.70,46.10,8,11.10,7.30,5.20,3.70,2.90
1765,70030320,48831.70,5370.70,568.70,45.30,13.80,34.20,5.20,10,4.10,5.30,3.10,2.10
1764,62021629,129844.10,24277.30,1303.70,105,29.60,54.40,9.30,12.50,6.50,6,4.40,2.70
1763,52082902,0,0,1027.50,117.10,37.40,49.60,10,11.60,8,5.10,4.50,3
1762,43386309,116187.50,18103.20,1025.20,73.80,25.20,44.40,7.60,10.80,5.40,5.30,4,2.50
1761,32811078,0,10910.60,1034.20,89.60,26.80,52.50,8.50,12.40,6.50,6,4.20,2.70
1760,24543900,142237.30,7123.50,970.70,70,22.50,44.50,6.80,11.10,5.50,5.60,3.60,2.40
1759,14336100,0,77759.40,997.40,96.90,37.70,36.40,8.60,7.80,7.30,3.60,3.90,2.90
1758,24145749.70,107972.80,10094,582.20,64.20,24.70,31.10,6.90,7.70,6.20,3.80,3.70,2.80
1757,14312300,105136,0,302.10,67.10,25.30,15.60,6,6.10,5.90,4,3.40,2.70
1756,44158558,0,39604,881.10,80.10,28.20,45.50,7.80,10.70,7.30,4.90,3.90,3.10
1755,32439060,0,0,1413.10,126.20,43.70,57.60,10.20,12.60,9.20,5.40,4.40,3.50
1754,24485102,151337.90,13263.80,918,81.90,24.60,46.50,7.50,11.50,5.60,5.70,3.90,2.50
1753,14392200,167728.20,11200.20,718.20,74.10,23.70,39.20,7.20,9.80,6,4.80,3.70,2.60
1752,33078306.60,78213.30,7834.10,759.10,74.20,22.70,41.80,7.90,11.10,5.70,5.80,4.10,2.50
1751,22493319,0,0,1197,116.90,35.30,48.50,9.40,10.30,7.70,4.40,4.10,2.90
1750,14422800,0,21366.20,1331,99.30,24.60,46.20,8.10,11.90,5.70,5.90,4.10,2.50
1749,180756232,100139.30,12482.20,1060.30,95.70,34.70,42.10,8.90,8.80,8,3.80,4.10,3.20
1748,165658649,60847.60,4524.80,838,37.30,13.20,37.20,5.10,10.30,4.30,5.30,3.20,2.20
1747,148984360,133173.20,25937.30,1182.20,111.60,32.60,55.10,10.10,12.40,6.70,5.70,4.70,2.70
1746,136146674,77616.40,9547.50,642,64.80,20.60,33,6.60,9,5.60,4.50,3.60,2.60
1745,121156630,0,13742.60,764.30,83.40,31.30,35.30,7.90,8.40,7.30,3.90,3.70,3
1744,110474000,95775.80,40291.90,794.30,88.10,29.50,31.90,7.80,7.50,6.90,3.60,3.80,2.90
1743,59838166,196646.70,13131.30,1101.10,81.50,27.10,34.60,6.60,9.30,6,4.90,3.20,2.60
1742,52171704,246725.90,0,1238.60,79.90,31.90,40.10,6.50,10,6.60,4.80,3.20,2.80
1741,40682863,178725.70,6961.80,1734.70,93.40,38.30,52,9.30,11.50,8.60,5.10,4.20,3.40
1740,32523165,226335,17632.70,1136.30,75.50,25.60,36.50,6.70,9.10,5.80,4.60,3.40,2.50
1739,22076027,0,14740.40,695.60,94.60,34.10,35.30,7.60,7.70,7.10,3.60,3.40,2.80
1738,14562200,217237.10,0,1265.10,133.30,39,61,10.90,14.60,8.20,6.50,5.10,3.20
1737,41933803,71196.30,11885.50,602.60,55.70,20.80,29.60,6.10,7.50,5.50,3.60,3.20,2.60
1736,33335763,0,16848.60,1749.30,92.20,28.70,49.40,8.50,11.80,6.10,5.80,4.10,2.50
1735,22751465,0,0,1154.10,129,41.20,56.10,11.20,12.20,9,5.30,4.80,3.30
1734,14597900,145757.50,12774.70,1326.30,71.80,27,39.50,6.70,10,6,5,3.30,2.70
1733,142605492,79104.90,11377.30,677.40,61.20,20,35.60,6.70,9.30,5.50,4.70,3.60,2.50
1732,130290236,393914.60,16738.90,1246.70,107,35,46.10,9.40,9.90,7.80,4.30,4.30,3.10
1731,115318610,135311.60,15812.20,1158.80,90.70,27.90,43.60,8,10.40,6.10,5,3.90,2.60
1730,104634780,665785.10,14145.90,1242.70,97.20,32,47.30,8.30,11.60,7.10,5.10,4.30,3.10
1729,90926180,0,21641.60,766,103.30,31.70,34.20,8.60,7.20,7.70,3,3.90,3.10
1728,81652272,0,15611.60,1051.30,84.60,28.90,40.60,7.50,10,6.10,4.80,3.70,2.50
1727,71095344,0,100313.50,1096.10,94.30,29.30,44.60,7.50,10.10,6,4.90,3.70,2.50
1726,63133397,254777.10,9160.80,904.70,86.40,28.10,47.40,8.10,11.30,6.40,5.40,4,2.70
1725,52991752,0,0,1041,113.30,38.20,38.20,9,8.10,7.70,3.50,4,3
1724,44637566,0,18578.80,1446.70,108.70,36.80,59.50,10.40,13.70,7.80,6.10,4.80,2.90
1723,33474458,69196.50,16172.30,662.80,55,20.50,35,5.70,9,5.40,4.60,3.10,2.50
1722,25257322,0,3672.40,865.60,48.10,14.80,48.90,6.30,12.60,4.80,6.10,3.50,2.30
1721,14531600,0,12548.30,1019.60,66.60,22.90,36.80,6.70,9.20,5.50,4.60,3.40,2.50
1720,111228000,300190.10,19134.30,1394.80,114.60,39.40,46.20,9.30,11.10,8.30,5.10,4.10,3.20
1719,62319725,202467.80,23660,1473.90,96.70,30.40,55.90,8.90,12.90,6.60,6.10,4.30,2.70
1718,54258756,0,13097.60,764.90,68.90,26.90,27.80,6.30,6.60,5.80,3.40,3.20,2.50
1717,42534485,0,12151,779.20,65.40,24,27.60,6.40,6.90,5.90,3.50,3.20,2.60
